,support,itemsets
0,0.4666666666666667,frozenset({2})
1,0.3333333333333333,frozenset({3})
2,0.4222222222222222,frozenset({5})
3,0.4,frozenset({4})
4,0.35555555555555557,frozenset({6})
5,0.4444444444444444,frozenset({11})
6,0.37777777777777777,frozenset({7})
7,0.35555555555555557,"frozenset({11, 5})"
8,0.3333333333333333,"frozenset({4, 5})"
9,0.3111111111111111,"frozenset({11, 4})"
10,0.35555555555555557,"frozenset({4, 6})"
11,0.3111111111111111,"frozenset({5, 6})"
12,0.3111111111111111,"frozenset({11, 6})"
13,0.28888888888888886,"frozenset({6, 7})"
14,0.3111111111111111,"frozenset({4, 5, 6})"
15,0.3111111111111111,"frozenset({11, 4, 6})"
16,0.28888888888888886,"frozenset({4, 6, 7})"
17,0.35555555555555557,"frozenset({11, 7})"
18,0.3333333333333333,"frozenset({5, 7})"
19,0.28888888888888886,"frozenset({4, 7})"
20,0.3111111111111111,"frozenset({11, 5, 7})"
